City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Katsuura,JP,77.45,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
589,Rosetta,EG,80.31,clear sky,31.4044,30.4164,Green Valley
590,Sao Jose Da Coroa Grande,BR,78.1,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
595,Bahia Honda,CU,83.48,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
600,Chapada Dos Guimaraes,BR,78.46,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
601,Englewood,US,81.01,few clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
605,Genthin,DE,86.25,overcast clouds,52.4,12.1667,Hotel Müller
606,Mount Pleasant,US,79.02,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
607,Bengkulu,ID,77.22,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
610,Dale,US,82.71,clear sky,38.1689,-86.99,"Motel 6 Dale, IN"
612,Talant,FR,89.42,clear sky,47.3369,5.0089,Hôtel Restaurant Campanile Dijon Gare
618,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
622,Villarrica,PY,76.33,broken clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
633,Tura,IN,76.37,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
638,Inirida,CO,78.76,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
639,Cumberland,US,82.58,overcast clouds,35.0502,-78.8664,American Eagle Inn
643,Bom Jesus,BR,89.82,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
646,Kupang,ID,76.12,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
650,Fare,PF,76.23,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
652,Aguimes,ES,82.65,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
653,Along,IN,75.88,overcast clouds,28.1667,94.7667,Hotel West
655,Pointe Michel,DM,86.29,overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
656,Harper,LR,78.08,broken clouds,4.375,-7.7169,Screensaver
659,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
660,Apollonia,GR,78.39,clear sky,36.9716,24.7231,Hotel Anthousa
663,Veraval,IN,81.97,overcast clouds,20.9,70.3667,Lords Inn Somnath
664,Srivardhan,IN,79.54,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
665,Hamilton,US,81.91,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
669,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
670,La Orilla,MX,81.73,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
671,Santander,ES,79.72,few clouds,43.4647,-3.8044,Abba Santander Hotel
672,Nicoya,CR,76.53,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
675,Yangcun,CN,81.0,broken clouds,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
676,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
681,Kumluca,TR,88.92,clear sky,36.3703,30.2869,Akkol Apart
683,Praya,CV,84.74,broken clouds,14.9215,-23.5087,LT Aparthotel
